fspace_hash,fsspace_hash,nfeatures,features,targets
-802871442,1769983528,10,"{{-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-2.890371757896165,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.7175764855574894,-8.047189562170502,-1.3862943611198906}}",{6.558197802812269}
1084577692,1142939945,1,{{-2.890371757896165}},{0}
-337957417,-850704527,18,"{{-4.727387818712341,-14.959841313840421,0,-1.018046664056702,-3.9545826017063983,-2.4849066497880004,-9.210340371976182,-9.284597073387866,-2.4849066497880004,-9.173327476094075,-1.460443378791355,-1.4276028485333916,-1.0132201384318322,-12.367328027087364,-15.242798338910262,-1.7739374185600167,-0.3476424561194023,-4.727387818712341}}",{1.0986122886681098}
-595026657,-1893136579,2,"{{-12.77974911711393,-3.1221606722057436}}",{0}
-744793937,1637699173,1,{{-15.242798338910262}},{0}
1084577692,753758380,4,"{{-9.077078618070912e-05,-15.242798338910262,-0.8560690605005224,-1.2854969272192156}}",{0}
1084577692,-1929051530,2,"{{-12.855359365938275,-0.26706729288945563}}",{0.6931471805598987}
1743226342,902289721,17,"{{-11.806862931584517,-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-2.7725887222522534,-1.3862943611198906,-0.11055918996513683,-4.015533393476355,-1.3862943611198906,-1.3862943611198906,-0.7175764855574894,-4.707678616916818,-8.047189562170502,-1.0124094052603678,-12.367328027087364,-1.3862943611198906,-11.806862931584517}}",{5.5093883366279774}
31318540,1443006341,1,{{-9.727421389904682}},{2.0794415416798357}
-680379475,-515574543,1,{{-13.782681534372943}},{4.709530201312334}
31318540,2145437737,1,{{-9.597641509456675}},{8.39931015075952}
-744793937,1443006341,1,{{-9.727421389904682}},{2.0794415416798357}
-744793937,1444280349,2,"{{-0.5976602103105778,-14.742975821546908}}",{0}
1084577692,-1734086084,1,{{-2.772588722239781}},{8.55371796609861}
1084577692,-435581008,2,"{{-2.890371757896165,-2.772588722239781}}",{8.55371796609861}
1084577692,-539225405,3,"{{-1.0946654775721811,-0.25524763645019544,-14.742975821546908}}",{0}
1084577692,-1626242966,5,"{{-1.0946654775721811,-0.25524763645019544,-14.742975821546908,-2.890371757896165,-2.772588722239781}}",{7.2909747781429814}
1084577692,-1179631526,1,{{-13.782681534372943}},{4.276666119016055}
1084577692,-378238279,4,"{{-1.0946654775721811,-0.25524763645019544,-2.890371757896165,-2.772588722239781}}",{11.564207759297279}
1084577692,-1860119767,8,"{{-9.077078618070912e-05,-15.242798338910262,-1.0946654775721811,-0.25524763645019544,-2.890371757896165,-0.8560690605005224,-2.772588722239781,-1.2854969272192156}}",{9.773321917959331}
1084577692,634313395,2,"{{-11.655214645968547,-11.587739081951298}}",{0}
1084577692,-1108610224,8,"{{-9.077078618070912e-05,-1.0946654775721811,-0.25524763645019544,-2.890371757896165,-0.8560690605005224,-2.772588722239781,-1.2854969272192156,-11.587739081951298}}",{2.6390573296152584}
1084577692,1226353924,9,"{{-9.077078618070912e-05,-0.26706729288945563,-1.0946654775721811,-0.25524763645019544,-2.890371757896165,-0.8560690605005224,-2.772588722239781,-1.2854969272192156,-11.587739081951298}}",{3.4657359027997265}
1084577692,1145346149,2,"{{-4.727387818712341,-4.727387818712341}}",{0}
-680379475,-954302517,2,"{{-15.242798338910262,-9.210340371976182}}",{0}
-802871442,1822530271,17,"{{-0.09412907198595906,-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-2.870007071031176,-0.8610071948870133,-1.3862943611198906,-0.11055918996513683,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.7175764855574894,-4.707678616916818,-8.047189562170502,-1.0124094052603678,-12.367328027087364,-1.3862943611198906}}",{6.558197802812269}
-744793937,2145437737,1,{{-9.597641509456675}},{8.39931015075952}
