query_hash,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
-1831630628,"{0.204034838,0.202280422,0.200769679,0.199340445,0.20194581900000003,0.20199701199999998,0.200038829,0.20127875,0.201695118,0.202145012,0.202035698,0.200937585,0.201488671,0.203715957,0.202260508,0.202322272,0.20210362099999998,0.20051118099999998,0.19994119800000001,0.202975868}",{},"{0.010942189,0.010834997,0.010889879,0.011240671,0.010938245,0.011106721,0.011291425,0.010950042,0.011196394,0.011186188,0.010754934,0.010628405,0.010669986,0.010835252,0.010851014,0.011321989,0.010929916,0.010756118,0.010697246,0.010760007}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},271,0
-379958762,"{0.222794808,0.22351094800000001,0.220675973,0.21961467099999998,0.21928741699999998,0.218267301,0.221036574,0.21685175499999998,0.22257549000000001,0.221185389,0.21953293,0.216525896,0.21949089300000002,0.22290646,0.21882291299999998,0.223761499,0.22279961199999998,0.222900609,0.217864358,0.22165805100000002}",{},"{0.037812931,0.036899292,0.037481415,0.03696728,0.037273124,0.037058159,0.037063647,0.037255276,0.037542634,0.038175526,0.037190931,0.037116519,0.03728632,0.037243685,0.037143713,0.037005235,0.037930244,0.037627944,0.037555221,0.037199388}",{},"{0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426,0.035765343605482426}",{},270,0
-1928826983,"{0.052490863,0.052338327000000004,0.052329096,0.052264182000000006,0.052447242000000005,0.052404993999999996,0.052456476999999994,0.052541661,0.052533224,0.05258468899999999,0.05277308199999999,0.05271837099999999,0.053104003,0.052378178,0.052568297,0.05286188000000001,0.052928382999999996,0.052591671,0.052935166000000006,0.052598092000000006}",{},"{0.03175702,0.031362395,0.031368785,0.031291583,0.031092788,0.031504244,0.031297388,0.031159019,0.03150143,0.031067328,0.031313683,0.031088153,0.031266137,0.031437929,0.031296877,0.031145133,0.031177669,0.031238387,0.031152238,0.031578508}",{},"{0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042,0.013126091253777042}",{},270,0
-2029736353,"{0.00018112199999999884,0.0001861920000000017,0.00017826700000000278,0.00017823700000000123,0.0001772249999999996,0.0001760929999999987,0.00016721700000000075,0.0001794099999999979,0.00017327799999999893,0.00016592400000000132,0.00017504200000000025,0.0001852110000000011,0.00019618200000000308,0.0001755630000000001,0.00017680499999999863,0.00018682399999999863,0.0001774670000000006,0.00017926999999999874,0.00017165499999999972,0.0001766349999999979}",{},"{0.020815659,0.020437095,0.019927722,0.019832547,0.020134092,0.019772679,0.020085563,0.01986883,0.020134262,0.020052936,0.020552558,0.019822048,0.021325814,0.020060108,0.019964551,0.020314136,0.020108569,0.019956804,0.019912893,0.020129435}",{},"{-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}",{},270,0
142517771,"{0.00017173499999999925,0.00017144399999999976,0.0001731170000000004,0.00019338600000000025,0.0001777869999999987,0.00016962099999999827,0.00018450899999999937,0.00016826900000000214,0.00017880899999999852,0.000174259999999999,0.00017034299999999988,0.00017647500000000232,0.00017724600000000243,0.00016944099999999934,0.00017597399999999888,0.0001763540000000001,0.00018002199999999843,0.00016951200000000013,0.00017563299999999796,0.00017243700000000098}",{},"{0.019802285,0.020272866,0.020610372,0.020461046,0.020170901,0.01998431,0.02044304,0.019845677,0.019901531,0.020120984,0.020051588,0.019941254,0.019779783,0.020220472,0.020063658,0.020092205,0.01988728,0.020116316,0.019976282,0.020209997}",{},"{-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}",{},270,0
-675870913,"{0.214590857,0.214344248,0.217420172,0.216639828,0.214792033,0.216508491,0.215750258,0.213802607,0.215613144,0.215212759,0.213047129,0.21563536,0.214150995,0.216228405,0.216386383,0.213908477,0.216710517,0.214579451,0.215089019,0.215415315}",{},"{0.029598569,0.029528668,0.030195096,0.029655129,0.029478846,0.02977857,0.029761353,0.029668271,0.029851939,0.030041831,0.030274641,0.029591024,0.029967414,0.029814881,0.029408234,0.02988858,0.029661453,0.029602605,0.029616063,0.029593313}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},270,0
1693882415,"{0.457404009,0.46071967999999996,0.46191177699999997,0.4630146,0.45957847999999996,0.462117121,0.462328261,0.457029749,0.457618315,0.453671874,0.45939185899999996,0.460827861,0.46091967,0.455487262,0.46156553499999997,0.46109770499999997,0.459067676,0.45496099100000004,0.458075952,0.457397155}",{},"{0.027075344,0.027151026,0.027105825,0.027758672,0.027005865,0.02755932,0.027397919,0.02749252,0.02724412,0.026938361,0.027436934,0.027160947,0.027231839,0.027423417,0.027012943,0.027171698,0.027540461,0.027523392,0.027935687,0.027134038}",{},"{0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128,0.04548175813138128}",{},270,0
991209701,"{2.425995661,2.4823083980000002,2.4736948840000004,2.41793837,2.451157961,2.444003415,2.438165703,2.430266371,2.447572783,2.4411412009999998,2.4723642040000002,2.46573837,2.423694115,2.453622697,2.4247390440000003,2.4251158790000003,2.429542838,2.43899094,2.480739525,2.4434733459999998}",{},"{0.008160236,0.008264932,0.008430603,0.008618906,0.008236247,0.008376448,0.008226128,0.008852398,0.008245551,0.008186702,0.008161757,0.008185234,0.008489653,0.008457584,0.008360571,0.008170972,0.008193056,0.008311771,0.008167679,0.008422072}",{},"{0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265,0.01217107732422265}",{},270,0
-121566415,"{0.00016579300000000088,0.00016516199999999995,0.0001575180000000006,0.00017012199999999998,0.00017784700000000007,0.0001648420000000001,0.00016125500000000077,0.0001667449999999994,0.0001734189999999993,0.00016898000000000087,0.00016469199999999927,0.00016612500000000134,0.00015991299999999938,0.00016411099999999977,0.00015918200000000077,0.00016869999999999906,0.00016495199999999946,0.00016127600000000013,0.0001649229999999991,0.00016822900000000064}",{},"{0.009417763,0.009419415,0.009098185,0.009150241,0.009352791,0.009078838,0.009471005,0.009153207,0.009436807,0.009217085,0.0091813,0.009073257,0.00925314,0.009175465,0.009109431,0.009511725,0.009161703,0.00899143,0.009260762,0.009477985}",{},"{-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}",{},270,0
-1365117997,"{0.00014865099999999964,0.00012619900000000045,0.00012110899999999945,0.00012948500000000036,0.00014640699999999944,0.00012496700000000013,0.0001291350000000007,0.00012544800000000023,0.00013279199999999963,0.0001298159999999996,0.00012934499999999946,0.0001265299999999997,0.00012729099999999986,0.00014666800000000084,0.00012239200000000068,0.0001268399999999996,0.00015543500000000064,0.00012320400000000002,0.00013303199999999994,0.00012958600000000098}",{},"{0.010493874,0.010739089,0.011320238,0.010554108,0.010864221,0.010502994,0.010586086,0.010535555,0.010496315,0.011099401,0.011127839,0.01061491,0.010573403,0.010475449,0.010877283,0.011779716,0.010678969,0.010623826,0.010703408,0.010898268}",{},"{-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}",{},270,0
